#OpName                       	#InvokeCount	#Duration(us): Sum/Mean/Min/Max
fused_nn_dense_add_nn_relu    	1         	175350/175350/175350/175350
fused_nn_contrib_conv2d_NCHWc_add_5	1         	134855/134855/134855/134855
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_16	1         	133558/133558/133558/133558
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_20	4         	112359/28089.7/28015.2/28282.4
fused_nn_conv2d_transpose_add_nn_relu	1         	69109.4/69109.4/69109.4/69109.4
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_11	6         	47286.6/7881.1/7448.32/8031.49
fused_nn_contrib_conv2d_NCHWc_add_7	1         	32195.2/32195.2/32195.2/32195.2
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_17	1         	32162.7/32162.7/32162.7/32162.7
fused_nn_contrib_conv2d_NCHWc_add_add_2	1         	29943.8/29943.8/29943.8/29943.8
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_10	5         	27493.3/5498.65/4831.1/6090.9
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_2	3         	26330.4/8776.8/8622.37/8865.21
fused_nn_contrib_conv2d_NCHWc_add_add_nn_relu_2	6         	25914.9/4319.16/4290.85/4350.82
fused_nn_contrib_conv2d_NCHWc_add_add_nn_relu	3         	24546.3/8182.1/7860.62/8413.72
fused_nn_contrib_conv2d_NCHWc_add_1	1         	24075.9/24075.9/24075.9/24075.9
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_7	3         	23555.4/7851.79/7682.4/7940.82
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_6	3         	23154.8/7718.28/7565.26/7818.99
fused_nn_contrib_conv2d_NCHWc_add_add_nn_relu_1	4         	20137.9/5034.47/4958.84/5143.56
fused_scatter_3               	4         	18942.5/4735.62/4254.19/5070.31
fused_nn_contrib_conv2d_NCHWc_add_2	1         	18608.8/18608.8/18608.8/18608.8
fused_expand_dims_concatenate_1	34        	17527.3/515.51/25.996/1073.59
fused_nn_contrib_conv2d_NCHWc_add_3	1         	16434.6/16434.6/16434.6/16434.6
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_3	2         	15982/7990.98/7980.41/8001.56
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_4	1         	15779.4/15779.4/15779.4/15779.4
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_15	2         	15435.8/7717.9/7708.44/7727.36
fused_nn_dense_add_nn_relu_1  	1         	14517.2/14517.2/14517.2/14517.2
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_8	1         	14483/14483/14483/14483
fused_nn_contrib_conv2d_NCHWc_add_add_1	1         	14341.4/14341.4/14341.4/14341.4
fused_nn_contrib_conv2d_NCHWc_add_add_nn_relu_3	3         	12625.6/4208.53/4197.36/4218.36
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_5	1         	12586/12586/12586/12586
fused_scatter_4               	4         	10752.8/2688.21/2241.95/3628
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_12	1         	10599.7/10599.7/10599.7/10599.7
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_9	1         	10460.2/10460.2/10460.2/10460.2
fused_nn_contrib_conv2d_NCHWc_add_nn_relu	1         	10101.7/10101.7/10101.7/10101.7
fused_topk                    	1         	9973.22/9973.22/9973.22/9973.22
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_14	2         	9564.25/4782.12/4704.86/4859.38
fused_nn_contrib_conv2d_NCHWc_add_19	1         	8872.34/8872.34/8872.34/8872.34
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_13	1         	8856.61/8856.61/8856.61/8856.61
fused_nn_contrib_conv2d_NCHWc_add	1         	7872.89/7872.89/7872.89/7872.89
fused_layout_transform_44     	1         	7833.66/7833.66/7833.66/7833.66
fused_nn_contrib_conv2d_NCHWc_add_9	1         	7618.54/7618.54/7618.54/7618.54
fused_nn_contrib_conv2d_NCHWc_add_add	1         	5781.81/5781.81/5781.81/5781.81
fused_layout_transform_39     	1         	5490.13/5490.13/5490.13/5490.13
fused_nn_dense_add_1          	1         	5284.15/5284.15/5284.15/5284.15
fused_dyn_full_1              	2         	4410.1/2205.05/1470.41/2939.69
fused_layout_transform_34     	1         	4369.03/4369.03/4369.03/4369.03
fused_reshape_reshape_concatenate_1	34        	4216.39/124.012/98.77/135.74
fused_vision_roi_align_4      	1         	3411.38/3411.38/3411.38/3411.38
fused_vision_roi_align        	1         	3243.31/3243.31/3243.31/3243.31
fused_nn_contrib_conv2d_NCHWc_add_6	1         	2462.18/2462.18/2462.18/2462.18
fused_nn_contrib_conv2d_NCHWc_add_14	1         	2440.72/2440.72/2440.72/2440.72
fused_dyn_strided_slice_1     	147       	2418.44/16.452/1.691/31.815
fused_nn_contrib_conv2d_NCHWc_add_4	1         	2409.48/2409.48/2409.48/2409.48
fused_layout_transform_image_resize_layout_transform_2	1         	2377.62/2377.62/2377.62/2377.62
fused_layout_transform_50     	1         	2277.7/2277.7/2277.7/2277.7
fused_vision_roi_align_2      	1         	2090.41/2090.41/2090.41/2090.41
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_1	1         	2009.8/2009.8/2009.8/2009.8
fused_topk_1                  	1         	1980.06/1980.06/1980.06/1980.06
fused_nn_max_pool2d           	1         	1963.66/1963.66/1963.66/1963.66
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_18	1         	1866.92/1866.92/1866.92/1866.92
fused_nn_contrib_conv2d_NCHWc_add_11	1         	1857.98/1857.98/1857.98/1857.98
fused_dyn_strided_slice_6     	5         	1559.5/311.9/87.591/1131.17
fused_vision_roi_align_1      	1         	1498.38/1498.38/1498.38/1498.38
fused_reshape_squeeze         	1         	1478.6/1478.6/1478.6/1478.6
fused_nn_dense_add            	1         	1307.63/1307.63/1307.63/1307.63
fused_layout_transform_45     	1         	1264.5/1264.5/1264.5/1264.5
fused_split_squeeze_subtract_divide_expand_dims_image_resize_take_nn_pad_stack_l_12908368525632877004_	1         	1197.21/1197.21/1197.21/1197.21
fused_dyn_full                	136       	1053.07/7.74313/0.157/25.806
fused_expand_dims_26          	2         	1001.08/500.538/5.729/995.347
fused_layout_transform_35     	1         	955.133/955.133/955.133/955.133
fused_layout_transform_40     	1         	948.338/948.338/948.338/948.338
fused_vision_non_max_suppression	2         	869.966/434.983/42.274/827.692
fused_layout_transform_51     	1         	759.351/759.351/759.351/759.351
fused_layout_transform_reshape_transpose_reshape_layout_transform_reshape_transp_13381633112789344475_	1         	728.29/728.29/728.29/728.29
fused_reshape_repeat_repeat_repeat	4         	717.091/179.273/57.82/280.317
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_19	1         	706.967/706.967/706.967/706.967
fused_vision_roi_align_5      	1         	658.973/658.973/658.973/658.973
fused_vision_roi_align_6      	1         	619.74/619.74/619.74/619.74
fused_nn_contrib_conv2d_NCHWc_add_8	1         	579.459/579.459/579.459/579.459
fused_layout_transform_image_resize_layout_transform_1	1         	562.512/562.512/562.512/562.512
fused_layout_transform_49     	1         	560.101/560.101/560.101/560.101
fused_nn_contrib_conv2d_NCHWc_add_15	1         	557.002/557.002/557.002/557.002
fused_layout_transform_48     	1         	555.386/555.386/555.386/555.386
fused_reshape_reshape_concatenate	34        	496.998/14.6176/4.517/59.304
fused_vision_roi_align_3      	1         	467.84/467.84/467.84/467.84
fused_topk_2                  	1         	431.059/431.059/431.059/431.059
fused_reshape_repeat_repeat_repeat_1	4         	418.831/104.708/0.142/320.741
fused_layout_transform_46     	1         	314.548/314.548/314.548/314.548
fused_divide_expand_dims_multiply_expand_dims_add_divide_clip_exp_expand_dims_mu_4615394520124750845_	1         	278.728/278.728/278.728/278.728
fused_dyn_image_resize        	34        	261.89/7.70265/1.894/34.152
fused_layout_transform_36     	1         	196.178/196.178/196.178/196.178
fused_layout_transform_41     	1         	189.812/189.812/189.812/189.812
fused_layout_transform_image_resize_layout_transform	1         	155.488/155.488/155.488/155.488
fused_split                   	1         	146.584/146.584/146.584/146.584
fused_cast_40                 	220       	126.535/0.575159/0.15/1.52
fused_multiply_46             	774       	124.864/0.161323/0.124/0.711
fused_dyn_strided_slice       	68        	123.512/1.81635/1.26/6.113
fused_prod_2                  	527       	122.698/0.232824/0.122/1.449
fused_shape_of_1              	280       	102.202/0.365007/0.145/1.504
fused_expand_dims_concatenate 	68        	97.674/1.43638/1.025/2.982
fused_topk_3                  	1         	96.773/96.773/96.773/96.773
fused_nn_contrib_conv2d_NCHWc_add_10	1         	89.011/89.011/89.011/89.011
fused_expand_dims_add_concatenate	68        	88.36/1.29941/1.051/2.308
fused_subtract_add_concatenate	68        	85.241/1.25354/1.025/2.205
fused_cast_like_add_where     	178       	78.972/0.443663/0.253/1.645
fused_nn_contrib_conv2d_NCHWc_add_16	1         	74.483/74.483/74.483/74.483
fused_take_9                  	34        	74.054/2.17806/1.727/3.237
fused_take_13                 	34        	69.19/2.035/1.385/5.021
fused_take_14                 	34        	66.94/1.96882/1.246/5.081
fused_layout_transform_47     	1         	66.691/66.691/66.691/66.691
shape_func_dyn_full           	136       	64.888/0.477118/0.174/1.368
shape_func_dyn_strided_slice_1	147       	56.862/0.386816/0.266/1.03
fused_layout_transform_42     	1         	49.706/49.706/49.706/49.706
fused_subtract_expand_dims_cast_concatenate	34        	49.017/1.44168/1.023/2.554
fused_maximum_minimum_maximum_minimum_stack	1         	48.764/48.764/48.764/48.764
fused_dyn_strided_slice_4     	28        	47.952/1.71257/1.211/4.618
fused_subtract_expand_dims_cast_concatenate_cast_like_less_cast_like_add_where	34        	47.765/1.40485/1.111/1.896
fused_subtract_expand_dims_cast_concatenate_cast_like_less_cast_like_add_where_1	34        	45.954/1.35159/1.133/1.806
fused_expand_dims_expand_dims_concatenate	34        	44.622/1.31241/1.047/2.194
fused_expand_dims_cast_concatenate_1	34        	44.208/1.30024/1.078/1.594
fused_subtract_expand_dims_cast_concatenate_1	34        	43.567/1.28138/1.044/1.944
fused_sigmoid_layout_transform_concatenate_adv_index	1         	42.09/42.09/42.09/42.09
fused_layout_transform_37     	1         	41.743/41.743/41.743/41.743
fused_expand_dims_cast_concatenate	34        	41.453/1.21921/1.074/1.554
fused_take_expand_dims_repeat_repeat	34        	37.515/1.10338/0.891/1.734
fused_shape_of                	36        	31.749/0.881917/0.226/2.434
fused_max_5                   	136       	30.681/0.225596/0.126/1.174
fused_scatter                 	68        	28.535/0.419632/0.248/1.097
fused_subtract_expand_dims    	68        	28.315/0.416397/0.186/1.211
fused_take_expand_dims_cast_1 	34        	28.25/0.830882/0.206/1.479
fused_prod_1                  	101       	28.059/0.277812/0.121/1.555
fused_topk_4                  	1         	27.122/27.122/27.122/27.122
shape_func_dyn_strided_slice  	68        	27.022/0.397382/0.281/0.855
fused_layout_transform_reshape_transpose_reshape_layout_transform_reshape_transp_12493098991282149264_	1         	25.893/25.893/25.893/25.893
fused_scatter_1               	68        	25.715/0.378162/0.25/1.438
fused_nn_contrib_conv2d_NCHWc_add_12	1         	24.801/24.801/24.801/24.801
fused_prod                    	112       	22.276/0.198893/0.126/1.462
shape_func_argwhere_1         	10        	22.112/2.2112/0.297/12.678
shape_func_take_1             	34        	21.811/0.6415/0.172/1.353
fused_take_7                  	34        	21.492/0.632118/0.233/1.467
fused_nn_contrib_conv2d_NCHWc_add_17	1         	19.687/19.687/19.687/19.687
fused_nn_softmax              	1         	19.49/19.49/19.49/19.49
shape_func_expand_dims_concatenate	34        	19.489/0.573206/0.274/1.293
shape_func_take_expand_dims_repeat_repeat	34        	19.291/0.567382/0.21/1.618
fused_dyn_strided_slice_2     	8         	18.641/2.33013/1.989/3.099
shape_func_take_2             	34        	18.539/0.545265/0.199/1.465
fused_full_1                  	34        	18.104/0.532471/0.128/1.319
fused_split_squeeze           	8         	17.853/2.23163/0.141/3.589
fused_argwhere_1              	10        	17.787/1.7787/0.137/10.702
shape_func_dyn_image_resize   	34        	17.008/0.500235/0.219/1.348
fused_dyn_strided_slice_9     	1         	16.735/16.735/16.735/16.735
shape_func_reshape_reshape_concatenate_1	34        	16.638/0.489353/0.288/1.354
fused_full                    	34        	15.597/0.458735/0.157/1.41
fused_dyn_strided_slice_8     	1         	14.892/14.892/14.892/14.892
fused_take_expand_dims_cast   	34        	14.801/0.435324/0.199/1.613
fused_min_7                   	68        	14.685/0.215956/0.124/1.183
fused_cast_adv_index          	8         	14.522/1.81525/0.161/3.23
fused_dyn_strided_slice_7     	1         	14.225/14.225/14.225/14.225
shape_func_reshape_reshape_concatenate	34        	14.146/0.416059/0.279/1.075
shape_func_take               	34        	14.055/0.413382/0.202/1.624
fused_equal_1                 	2         	13.628/6.814/6.006/7.622
fused_prod_3                  	52        	13.457/0.258788/0.122/1.017
fused_layout_transform_43     	1         	13.26/13.26/13.26/13.26
fused_cast_broadcast_to_like  	1         	13.24/13.24/13.24/13.24
shape_func_dyn_strided_slice_4	28        	12.896/0.460571/0.32/0.943
fused_take_less               	35        	12.151/0.347171/0.21/0.538
fused_nn_max_pool2d_1         	1         	10.95/10.95/10.95/10.95
fused_equal_3                 	2         	10.373/5.1865/3.636/6.737
fused_add_17                  	34        	10.275/0.302206/0.153/0.71
fused_take_11                 	34        	9.877/0.2905/0.164/0.471
fused_nn_contrib_conv2d_NCHWc_add_13	1         	9.532/9.532/9.532/9.532
fused_layout_transform_38     	1         	9.397/9.397/9.397/9.397
fused_take_8                  	34        	8.773/0.258029/0.151/0.626
fused_take_12                 	34        	8.72/0.256471/0.153/0.707
fused_take_10                 	34        	8.368/0.246118/0.156/0.357
fused_equal_2                 	2         	8.286/4.143/2.695/5.591
shape_func_cast_adv_index     	8         	7.972/0.9965/0.284/2.178
fused_nn_contrib_conv2d_NCHWc_add_18	1         	7.61/7.61/7.61/7.61
fused_nn_pad                  	1         	7.529/7.529/7.529/7.529
fused_split_squeeze_cast      	3         	7.212/2.404/1.973/2.843
fused_equal                   	2         	6.347/3.1735/2.491/3.856
fused_greater                 	1         	6.179/6.179/6.179/6.179
fused_squeeze_7               	2         	6.053/3.0265/2.838/3.215
shape_func_nn_contrib_conv2d_NCHWc_add_nn_relu	4         	5.938/1.4845/1.368/1.659
fused_dyn_strided_slice_3     	2         	5.738/2.869/2.736/3.002
fused_prod_4                  	7         	5.385/0.769286/0.385/1.48
fused_cast_like_add_where_1   	10        	5.096/0.5096/0.318/0.917
fused_max_6                   	2         	5.071/2.5355/0.965/4.106
fused_subtract_add_expand_dims_expand_dims_add_concatenate_expand_dims	2         	4.899/2.4495/1.873/3.026
fused_dyn_strided_slice_5     	1         	4.724/4.724/4.724/4.724
shape_func_reshape_repeat_repeat_repeat_1	4         	4.691/1.17275/0.34/1.634
fused_shape_of_2              	8         	4.647/0.580875/0.162/1.424
fused_take_take_subtract_take_take_subtract_multiply_concatenate_sqrt_divide_log_3641292538708681564_	2         	4.223/2.1115/1.964/2.259
fused_cast_42                 	2         	4.214/2.107/2.051/2.163
fused_adv_index_split_squeeze_adv_index	1         	4.128/4.128/4.128/4.128
fused_cast_like_add_where_2   	6         	4.127/0.687833/0.339/0.966
fused_cast_43                 	5         	3.924/0.7848/0.202/1.514
fused_multiply_48             	10        	3.919/0.3919/0.179/0.519
fused_cast_41                 	6         	3.73/0.621667/0.151/1.459
fused_take_expand_dims_cast_concatenate	2         	3.642/1.821/1.38/2.262
shape_func_dyn_strided_slice_2	8         	3.608/0.451/0.337/0.767
fused_multiply_47             	15        	3.546/0.2364/0.122/1.227
fused_add_add_add_add_add_concatenate	1         	3.529/3.529/3.529/3.529
fused_full_like_concatenate_concatenate_concatenate	2         	3.458/1.729/1.595/1.863
fused_shape_of_4              	5         	3.432/0.6864/0.365/1.14
shape_func_split_squeeze      	8         	3.263/0.407875/0.329/0.481
fused_arange_9                	1         	3.214/3.214/3.214/3.214
shape_func_scatter            	4         	3.193/0.79825/0.532/1.115
fused_adv_index_1             	2         	3.111/1.5555/1.327/1.784
fused_arange_7                	1         	3.085/3.085/3.085/3.085
shape_func_reshape_repeat_repeat_repeat	4         	2.958/0.7395/0.541/1.325
fused_full_full_full_full_full_concatenate_reshape_cast_broadcast_to_like_adv_in_8196792179794000237_	1         	2.909/2.909/2.909/2.909
shape_func_dyn_strided_slice_6	5         	2.857/0.5714/0.423/0.737
shape_func_expand_dims_1      	2         	2.854/1.427/1.197/1.657
fused_reshape_adv_index_adv_index	1         	2.761/2.761/2.761/2.761
fused_reshape_adv_index       	1         	2.716/2.716/2.716/2.716
shape_func_equal_3            	2         	2.672/1.336/0.915/1.757
fused_take_take_subtract_1    	1         	2.656/2.656/2.656/2.656
fused_adv_index_adv_index     	1         	2.656/2.656/2.656/2.656
shape_func_scatter_1          	4         	2.587/0.64675/0.374/1.258
fused_adv_index_3             	1         	2.517/2.517/2.517/2.517
fused_squeeze_8               	2         	2.439/1.2195/1.188/1.251
fused_take_take_add_multiply_take_take_subtract_multiply_take_add_cast_cast_cast_16305282092913549647_	1         	2.408/2.408/2.408/2.408
shape_func_equal_1            	2         	2.396/1.198/1.173/1.223
fused_shape_of_7              	4         	2.349/0.58725/0.196/1.189
fused_cast_add_multiply       	1         	2.314/2.314/2.314/2.314
fused_adv_index_2             	1         	2.294/2.294/2.294/2.294
fused_arange_8                	1         	2.181/2.181/2.181/2.181
fused_strided_slice_6         	1         	2.167/2.167/2.167/2.167
fused_concatenate_9           	1         	2.12/2.12/2.12/2.12
fused_shape_of_10             	1         	2.083/2.083/2.083/2.083
shape_func_squeeze            	2         	2.007/1.0035/0.663/1.344
fused_take_take_subtract      	1         	1.994/1.994/1.994/1.994
fused_strided_slice_take_take_subtract_greater_equal_cast_take_take_subtract_gre_10448244218429255428_	1         	1.949/1.949/1.949/1.949
fused_take_cast_expand_dims_take_cast_expand_dims_take_cast_expand_dims_concaten_10869151023261452404_	1         	1.946/1.946/1.946/1.946
shape_func_split_squeeze_cast 	3         	1.909/0.636333/0.194/1.254
fused_adv_index               	1         	1.888/1.888/1.888/1.888
fused_min_8                   	2         	1.866/0.933/0.507/1.359
fused_concatenate_7           	1         	1.855/1.855/1.855/1.855
fused_take_take_subtract_greater_equal_cast_take_take_subtract_greater_equal_cas_250104735588561676_	1         	1.799/1.799/1.799/1.799
shape_func_reshape_3          	1         	1.787/1.787/1.787/1.787
shape_func_expand_dims        	2         	1.753/0.8765/0.43/1.323
shape_func_reshape_squeeze    	1         	1.705/1.705/1.705/1.705
shape_func_nn_dense_add_nn_relu_1	1         	1.7/1.7/1.7/1.7
fused_split_squeeze_multiply_squeeze_multiply_squeeze_multiply_squeeze_multiply__1511904406113696076_	1         	1.698/1.698/1.698/1.698
