#OpName                       	#InvokeCount	#Duration(us): Sum/Mean/Min/Max
fused_layout_transform_51     	1         	1374.15/1374.15/1374.15/1374.15
fused_layout_transform_45     	1         	1307.98/1307.98/1307.98/1307.98
fused_split_squeeze_subtract_divide_expand_dims_image_resize_take_nn_pad_stack_l_12908368525632877004_	1         	1198.99/1198.99/1198.99/1198.99
fused_layout_transform_48     	1         	1146.06/1146.06/1146.06/1146.06
fused_vision_roi_align_6      	1         	1040.49/1040.49/1040.49/1040.49
fused_layout_transform_49     	1         	985.418/985.418/985.418/985.418
fused_layout_transform_35     	1         	907.351/907.351/907.351/907.351
fused_layout_transform_40     	1         	871.484/871.484/871.484/871.484
fused_reshape_repeat_repeat_repeat_1	4         	812.739/203.185/0.171/664.556
fused_nn_dense_add            	1         	790.249/790.249/790.249/790.249
fused_reshape_reshape_concatenate	59        	787.48/13.3471/4.67/59.848
fused_layout_transform_reshape_transpose_reshape_layout_transform_reshape_transp_13381633112789344475_	1         	728.15/728.15/728.15/728.15
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_19	1         	705.861/705.861/705.861/705.861
fused_layout_transform_image_resize_layout_transform_1	1         	568.712/568.712/568.712/568.712
fused_nn_contrib_conv2d_NCHWc_add_8	1         	531.135/531.135/531.135/531.135
fused_topk_2                  	1         	412.222/412.222/412.222/412.222
fused_nn_contrib_conv2d_NCHWc_add_15	1         	411.432/411.432/411.432/411.432
fused_dyn_image_resize        	59        	379.955/6.43992/1.24/34.948
fused_vision_roi_align_3      	1         	311.643/311.643/311.643/311.643
fused_layout_transform_46     	1         	306.449/306.449/306.449/306.449
fused_maximum_minimum_maximum_minimum_stack	1         	250.593/250.593/250.593/250.593
fused_cast_40                 	370       	220.951/0.597165/0.166/1.691
fused_dyn_strided_slice       	118       	213.406/1.80853/1.2/4.95
fused_layout_transform_36     	1         	205.315/205.315/205.315/205.315
fused_layout_transform_41     	1         	199.403/199.403/199.403/199.403
fused_multiply_46             	1225      	196.472/0.160385/0.119/1.728
fused_prod_2                  	852       	195.754/0.229758/0.119/8.367
fused_expand_dims_concatenate 	118       	189.898/1.60931/1.015/3.077
fused_shape_of_1              	480       	179.225/0.373385/0.146/1.656
fused_subtract_add_concatenate	118       	151.118/1.28066/1.03/2.248
fused_expand_dims_add_concatenate	118       	149.396/1.26607/1.053/2.282
fused_layout_transform_image_resize_layout_transform	1         	148.313/148.313/148.313/148.313
fused_split                   	1         	147.725/147.725/147.725/147.725
fused_take_9                  	59        	144.877/2.45554/1.759/3.809
fused_take_14                 	59        	128.171/2.17239/1.142/4.895
fused_take_13                 	59        	126.664/2.14685/1.373/6.843
fused_cast_like_add_where     	278       	125.418/0.451144/0.244/1.27
fused_nn_softmax              	1         	124.979/124.979/124.979/124.979
shape_func_dyn_full           	236       	121.352/0.514203/0.192/1.494
shape_func_dyn_strided_slice_1	247       	98.06/0.397004/0.267/1.354
fused_topk_3                  	1         	93.918/93.918/93.918/93.918
fused_subtract_expand_dims_cast_concatenate	59        	92.14/1.56169/1.047/2.443
fused_subtract_expand_dims_cast_concatenate_cast_like_less_cast_like_add_where	59        	90.016/1.52569/1.208/1.986
fused_nn_contrib_conv2d_NCHWc_add_10	1         	88.289/88.289/88.289/88.289
fused_dyn_strided_slice_4     	28        	88.09/3.14607/1.288/5.984
fused_layout_transform_reshape_transpose_reshape_layout_transform_reshape_transp_12493098991282149264_	1         	84.887/84.887/84.887/84.887
fused_expand_dims_expand_dims_concatenate	59        	81.832/1.38698/1.052/2.503
shape_func_argwhere_1         	10        	79.147/7.9147/0.436/65.254
fused_subtract_expand_dims_cast_concatenate_1	59        	78.857/1.33656/1.066/2.511
fused_sigmoid_layout_transform_concatenate_adv_index	1         	78.466/78.466/78.466/78.466
fused_expand_dims_cast_concatenate	59        	77.952/1.32122/1.071/1.973
fused_subtract_expand_dims_cast_concatenate_cast_like_less_cast_like_add_where_1	59        	76.918/1.30369/1.146/1.566
fused_expand_dims_cast_concatenate_1	59        	75.989/1.28795/1.051/1.723
fused_argwhere_1              	10        	70.847/7.0847/0.228/59.512
fused_take_expand_dims_repeat_repeat	59        	70.576/1.1962/0.876/1.637
fused_layout_transform_47     	1         	68.795/68.795/68.795/68.795
fused_nn_contrib_conv2d_NCHWc_add_16	1         	64.454/64.454/64.454/64.454
fused_subtract_expand_dims    	118       	63.355/0.536907/0.187/1.517
fused_dyn_strided_slice_8     	1         	62.686/62.686/62.686/62.686
fused_max_5                   	236       	62.628/0.265373/0.126/1.44
fused_dyn_strided_slice_7     	1         	61.346/61.346/61.346/61.346
fused_layout_transform_42     	1         	60.148/60.148/60.148/60.148
fused_take_expand_dims_cast_1 	59        	56.506/0.957729/0.162/1.594
fused_shape_of                	61        	56.383/0.924311/0.214/2.388
fused_take_7                  	59        	54.222/0.919017/0.229/2.066
fused_cast_broadcast_to_like  	1         	53.297/53.297/53.297/53.297
fused_scatter_1               	118       	49.607/0.420398/0.244/1.349
shape_func_dyn_strided_slice  	118       	48.87/0.414153/0.272/0.74
fused_scatter                 	118       	48.035/0.407076/0.229/0.871
shape_func_expand_dims_concatenate	59        	43.602/0.739017/0.216/1.721
fused_layout_transform_37     	1         	41.017/41.017/41.017/41.017
shape_func_take_1             	59        	40.67/0.689322/0.209/1.69
fused_prod                    	189       	39.542/0.209217/0.121/1.011
fused_prod_1                  	151       	38.512/0.255046/0.122/1.491
fused_dyn_strided_slice_5     	1         	38.382/38.382/38.382/38.382
fused_dyn_strided_slice_9     	1         	37.688/37.688/37.688/37.688
fused_full                    	59        	37.068/0.628271/0.153/1.903
shape_func_take_expand_dims_repeat_repeat	59        	36.79/0.623559/0.181/1.798
shape_func_take_2             	59        	34.441/0.583746/0.203/1.608
shape_func_dyn_image_resize   	59        	33.76/0.572203/0.221/1.481
