==3960== Profiling application: python maskrcnn_test.py
==3960== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
30.0013s     608ns                    -               -         -         -         -      512B  803.09MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0013s  957.61us            (400 1 1)       (100 1 1)       168  8.2500KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_4_kernel0 [313]
30.0023s  46.657us                    -               -         -         -         -  576.00KB  11.774GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0023s     640ns                    -               -         -         -         -      512B  762.94MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0024s  914.76us            (200 1 1)       (160 1 1)       128  7.9453KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_5_kernel0 [327]
30.0033s  41.793us                    -               -         -         -         -  512.00KB  11.683GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0034s     736ns                    -               -         -         -         -  2.0000KB  2.5915GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0034s  911.63us           (2000 1 1)       (128 1 1)        56  5.2188KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_1_kernel0 [341]
30.0043s  21.600us                    -               -         -         -         -  256.00KB  11.303GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0044s     768ns                    -               -         -         -         -  2.0000KB  2.4835GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0044s  636.93us            (400 1 1)       (160 1 1)       168  13.500KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_add_nn_relu_1_kernel0 [355]
30.0050s  21.440us                    -               -         -         -         -  256.00KB  11.387GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0051s     992ns                    -               -         -         -         -      512B  492.22MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0051s  374.69us            (250 1 1)        (80 1 1)       128  4.5000KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_6_kernel0 [369]
30.0055s  46.560us                    -               -         -         -         -  576.00KB  11.798GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0056s     608ns                    -               -         -         -         -      512B  803.09MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0056s  785.26us            (250 1 1)        (64 1 1)       128  9.7500KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_7_kernel0 [383]
30.0064s  21.281us                    -               -         -         -         -  256.00KB  11.472GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0064s     768ns                    -               -         -         -         -  2.0000KB  2.4835GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0064s  646.98us            (400 1 1)       (160 1 1)       168  13.500KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_add_nn_relu_1_kernel0 [396]
30.0071s  21.408us                    -               -         -         -         -  256.00KB  11.404GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
