==7087== NVPROF is profiling process 7087, command: python maskrcnn_test.py
==7087== Warning: Profiling results might be incorrect with current version of nvcc compiler used to compile cuda app. Compile with nvcc compiler 9.0 or later version to get correct profiling results. Ignore this warning if code is already compiled with the recommended nvcc version 
/home/masa/anaconda3/envs/torch-1.7/lib/python3.7/site-packages/torch/tensor.py:593: RuntimeWarning: Iterating over a tensor might cause the trace to be incorrect. Passing a tensor of different shape won't change the number of iterations executed (and might lead to errors or silently give incorrect results).
  'incorrect results).', category=RuntimeWarning)
/home/masa/anaconda3/envs/torch-1.7/lib/python3.7/site-packages/torch/nn/functional.py:3123: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  dtype=torch.float32)).float())) for i in range(dim)]
/home/masa/anaconda3/envs/torch-1.7/lib/python3.7/site-packages/torchvision/models/detection/anchor_utils.py:147: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  torch.tensor(image_size[1] // g[1], dtype=torch.int64, device=device)] for g in grid_sizes]
/home/masa/anaconda3/envs/torch-1.7/lib/python3.7/site-packages/torchvision/ops/boxes.py:128: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  boxes_x = torch.min(boxes_x, torch.tensor(width, dtype=boxes.dtype, device=boxes.device))
/home/masa/anaconda3/envs/torch-1.7/lib/python3.7/site-packages/torchvision/ops/boxes.py:130: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  boxes_y = torch.min(boxes_y, torch.tensor(height, dtype=boxes.dtype, device=boxes.device))
/home/masa/anaconda3/envs/torch-1.7/lib/python3.7/site-packages/torchvision/models/detection/transform.py:271: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  for s, s_orig in zip(new_size, original_size)
/home/masa/anaconda3/envs/torch-1.7/lib/python3.7/site-packages/torchvision/models/detection/roi_heads.py:372: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  return torch.tensor(M + 2 * padding).to(torch.float32) / torch.tensor(M).to(torch.float32)
File test_street_small.jpg exists, skip.
==7087== Profiling application: python maskrcnn_test.py
==7087== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
2.32713s  6.2720us                    -               -         -         -         -  64.000KB  9.7314GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32717s     576ns                    -               -         -         -         -      256B  423.86MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32720s     607ns                    -               -         -         -         -      256B  402.21MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32722s     576ns                    -               -         -         -         -      256B  423.86MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32724s     608ns                    -               -         -         -         -      256B  401.55MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32728s  12.576us                    -               -         -         -         -  144.00KB  10.920GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32733s     608ns                    -               -         -         -         -      256B  401.55MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32736s     575ns                    -               -         -         -         -      256B  424.59MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32738s     576ns                    -               -         -         -         -      256B  423.86MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32740s     608ns                    -               -         -         -         -      256B  401.55MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32743s  6.2710us                    -               -         -         -         -  64.000KB  9.7329GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32748s     672ns                    -               -         -         -         -  1.0000KB  1.4192GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32750s     704ns                    -               -         -         -         -  1.0000KB  1.3547GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32752s     672ns                    -               -         -         -         -  1.0000KB  1.4192GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32754s     672ns                    -               -         -         -         -  1.0000KB  1.4192GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32758s  6.2400us                    -               -         -         -         -  64.000KB  9.7813GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32763s     576ns                    -               -         -         -         -      256B  423.86MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32765s     576ns                    -               -         -         -         -      256B  423.86MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32767s     608ns                    -               -         -         -         -      256B  401.55MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32769s     576ns                    -               -         -         -         -      256B  423.86MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32773s  12.320us                    -               -         -         -         -  144.00KB  11.147GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32779s     608ns                    -               -         -         -         -      256B  401.55MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32781s     576ns                    -               -         -         -         -      256B  423.86MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32783s     608ns                    -               -         -         -         -      256B  401.55MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32785s     608ns                    -               -         -         -         -      256B  401.55MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32789s  6.2400us                    -               -         -         -         -  64.000KB  9.7813GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32793s     672ns                    -               -         -         -         -  1.0000KB  1.4192GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32795s     672ns                    -               -         -         -         -  1.0000KB  1.4192GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32797s     672ns                    -               -         -         -         -  1.0000KB  1.4192GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32799s     672ns                    -               -         -         -         -  1.0000KB  1.4192GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32804s  11.104us                    -               -         -         -         -  128.00KB  10.993GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32810s     608ns                    -               -         -         -         -      512B  803.09MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32812s     608ns                    -               -         -         -         -      512B  803.09MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32814s     608ns                    -               -         -         -         -      512B  803.09MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32816s     608ns                    -               -         -         -         -      512B  803.09MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
