#OpName                       	#InvokeCount	#Duration(us): Sum/Mean/Min/Max
fused_layout_transform_51     	1         	1353.23/1353.23/1353.23/1353.23
fused_vision_roi_align_5      	1         	1311.31/1311.31/1311.31/1311.31
fused_divide_expand_dims_multiply_expand_dims_add_divide_clip_exp_expand_dims_mu_4615394520124750845_	1         	1193.59/1193.59/1193.59/1193.59
fused_layout_transform_48     	1         	1043.95/1043.95/1043.95/1043.95
fused_layout_transform_49     	1         	974.042/974.042/974.042/974.042
fused_layout_transform_35     	1         	926.126/926.126/926.126/926.126
fused_layout_transform_40     	1         	904.944/904.944/904.944/904.944
fused_reshape_repeat_repeat_repeat_1	4         	852.754/213.188/0.136/726.352
fused_reshape_reshape_concatenate	59        	795.577/13.4844/4.568/58.742
fused_layout_transform_reshape_transpose_reshape_layout_transform_reshape_transp_13381633112789344475_	1         	727.707/727.707/727.707/727.707
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_19	1         	579.116/579.116/579.116/579.116
fused_layout_transform_image_resize_layout_transform_1	1         	575.494/575.494/575.494/575.494
fused_vision_roi_align_6      	1         	569.876/569.876/569.876/569.876
fused_nn_contrib_conv2d_NCHWc_add_8	1         	501.711/501.711/501.711/501.711
fused_nn_contrib_conv2d_NCHWc_add_15	1         	444.202/444.202/444.202/444.202
fused_topk_2                  	1         	432.9/432.9/432.9/432.9
fused_dyn_image_resize        	59        	377.534/6.39888/1.186/34.456
fused_vision_roi_align_3      	1         	313.555/313.555/313.555/313.555
fused_layout_transform_46     	1         	307.731/307.731/307.731/307.731
fused_cast_40                 	370       	230.058/0.621778/0.155/1.57
fused_dyn_strided_slice       	118       	214.094/1.81436/1.223/5.604
fused_maximum_minimum_maximum_minimum_stack	1         	198.735/198.735/198.735/198.735
fused_multiply_46             	1225      	198.22/0.161812/0.119/1.514
fused_layout_transform_36     	1         	196.15/196.15/196.15/196.15
fused_layout_transform_41     	1         	193.835/193.835/193.835/193.835
fused_expand_dims_concatenate 	118       	183.52/1.55525/1.021/3.82
fused_prod_2                  	852       	180.729/0.212123/0.119/1.346
fused_shape_of_1              	480       	177.604/0.370008/0.141/1.718
fused_layout_transform_image_resize_layout_transform	1         	158.349/158.349/158.349/158.349
fused_expand_dims_add_concatenate	118       	156.446/1.32581/1.055/2.226
fused_subtract_add_concatenate	118       	153.974/1.30486/1.02/2.407
fused_split                   	1         	146.063/146.063/146.063/146.063
fused_cast_like_add_where     	278       	136.489/0.490968/0.264/1.771
fused_take_9                  	59        	134.281/2.27595/1.707/3.425
fused_take_14                 	59        	126.991/2.15239/1.229/6.296
fused_take_13                 	59        	123.027/2.0852/1.402/5.258
shape_func_dyn_full           	236       	117.308/0.497068/0.173/1.826
shape_func_dyn_strided_slice_1	247       	103.6/0.419433/0.276/0.987
fused_subtract_expand_dims_cast_concatenate	59        	97.801/1.65764/1.055/2.628
fused_topk_3                  	1         	97.349/97.349/97.349/97.349
fused_nn_contrib_conv2d_NCHWc_add_10	1         	92.846/92.846/92.846/92.846
fused_subtract_expand_dims_cast_concatenate_cast_like_less_cast_like_add_where	59        	87.354/1.48058/1.1/2.064
fused_layout_transform_reshape_transpose_reshape_layout_transform_reshape_transp_12493098991282149264_	1         	84.224/84.224/84.224/84.224
fused_subtract_expand_dims_cast_concatenate_cast_like_less_cast_like_add_where_1	59        	83.602/1.41698/1.127/2.194
fused_dyn_strided_slice_4     	28        	83.41/2.97893/1.248/6.35
fused_expand_dims_expand_dims_concatenate	59        	78.247/1.32622/1.026/2.217
fused_expand_dims_cast_concatenate_1	59        	78.09/1.32356/1.018/2.05
fused_sigmoid_layout_transform_concatenate_adv_index	1         	78.004/78.004/78.004/78.004
fused_nn_softmax              	1         	74.63/74.63/74.63/74.63
fused_subtract_expand_dims_cast_concatenate_1	59        	74.516/1.26298/1.035/2.292
fused_expand_dims_cast_concatenate	59        	73.952/1.25342/1.042/1.934
fused_layout_transform_47     	1         	71.705/71.705/71.705/71.705
fused_subtract_expand_dims    	118       	70.765/0.599703/0.18/1.877
fused_take_expand_dims_repeat_repeat	59        	69.55/1.17881/0.875/2.696
fused_nn_contrib_conv2d_NCHWc_add_16	1         	64.188/64.188/64.188/64.188
shape_func_argwhere_1         	10        	61.65/6.165/0.418/48.272
fused_shape_of                	61        	60.238/0.987508/0.205/2.614
fused_max_5                   	236       	58.025/0.245869/0.127/1.313
fused_take_expand_dims_cast_1 	59        	56.479/0.957271/0.167/1.682
fused_take_7                  	59        	55.382/0.938678/0.257/2.102
fused_dyn_strided_slice_8     	1         	51.912/51.912/51.912/51.912
shape_func_dyn_strided_slice  	118       	51.894/0.43978/0.296/0.831
fused_layout_transform_42     	1         	51.11/51.11/51.11/51.11
fused_dyn_strided_slice_7     	1         	49.044/49.044/49.044/49.044
fused_scatter                 	118       	48.328/0.409559/0.242/1.185
fused_cast_broadcast_to_like  	1         	48.127/48.127/48.127/48.127
fused_argwhere_1              	10        	46.365/4.6365/0.14/36.211
shape_func_take_2             	59        	44.06/0.74678/0.197/1.835
shape_func_dyn_image_resize   	59        	44.018/0.746068/0.23/1.78
shape_func_expand_dims_concatenate	59        	43.391/0.735441/0.228/1.526
fused_prod                    	189       	42.298/0.223799/0.125/0.994
fused_prod_1                  	151       	41.418/0.274291/0.122/1.407
fused_full                    	59        	41.247/0.699102/0.177/1.968
fused_scatter_1               	118       	40.74/0.345254/0.239/1.224
fused_layout_transform_37     	1         	40.488/40.488/40.488/40.488
fused_dyn_strided_slice_9     	1         	37.517/37.517/37.517/37.517
shape_func_take_1             	59        	36.155/0.612797/0.18/1.777
fused_dyn_strided_slice_5     	1         	33.117/33.117/33.117/33.117
shape_func_take_expand_dims_repeat_repeat	59        	30.851/0.522898/0.196/1.377
shape_func_reshape_reshape_concatenate_1	59        	28.315/0.479915/0.275/1.544
fused_full_1                  	59        	27.228/0.461492/0.16/1.829
shape_func_take               	59        	27.078/0.458949/0.216/1.408
fused_nn_contrib_conv2d_NCHWc_add_12	1         	26.378/26.378/26.378/26.378
fused_min_7                   	118       	25.732/0.218068/0.127/0.723
fused_topk_4                  	1         	25.566/25.566/25.566/25.566
fused_take_less               	60        	24.525/0.40875/0.173/2.089
shape_func_reshape_reshape_concatenate	59        	24.254/0.411085/0.251/1.153
fused_nn_pad                  	1         	22.198/22.198/22.198/22.198
fused_add_17                  	59        	21.132/0.358169/0.17/0.758
fused_take_expand_dims_cast   	59        	21.112/0.357831/0.177/1.149
fused_take_8                  	59        	20.741/0.351542/0.13/0.826
fused_max_6                   	2         	20.599/10.2995/2.487/18.112
fused_dyn_strided_slice_2     	8         	20.44/2.555/2.172/3.692
fused_nn_contrib_conv2d_NCHWc_add_17	1         	18.861/18.861/18.861/18.861
fused_cast_adv_index          	8         	18.189/2.27362/0.159/4.859
fused_vision_get_valid_counts 	2         	17.83/8.915/3.15/14.68
fused_prod_3                  	51        	17.606/0.345216/0.123/1.234
fused_take_10                 	59        	17.521/0.296966/0.144/1.085
fused_split_squeeze           	8         	17.377/2.17212/0.127/3.058
fused_greater                 	1         	16.83/16.83/16.83/16.83
fused_take_12                 	59        	16.63/0.281864/0.128/1.15
fused_take_11                 	59        	15.076/0.255525/0.128/0.622
fused_layout_transform_43     	1         	13.98/13.98/13.98/13.98
shape_func_dyn_strided_slice_4	28        	13.745/0.490893/0.324/1.231
fused_adv_index_split_squeeze_adv_index_expand_dims_expand_dims_add_concatenate__5173668333798654992_	1         	12.524/12.524/12.524/12.524
fused_nn_max_pool2d_1         	1         	12.108/12.108/12.108/12.108
fused_equal_2                 	2         	11.669/5.8345/5.103/6.566
fused_layout_transform_38     	1         	11.513/11.513/11.513/11.513
fused_equal_3                 	2         	11.263/5.6315/4.349/6.914
fused_equal_1                 	2         	10.887/5.4435/5.178/5.709
fused_nn_contrib_conv2d_NCHWc_add_13	1         	9.175/9.175/9.175/9.175
fused_equal                   	2         	9.166/4.583/3.554/5.612
fused_split_squeeze_cast      	3         	8.902/2.96733/2.427/3.968
fused_nn_contrib_conv2d_NCHWc_add_18	1         	8.453/8.453/8.453/8.453
shape_func_split_squeeze      	8         	7.503/0.937875/0.393/1.6
shape_func_cast_adv_index     	8         	6.875/0.859375/0.461/1.708
fused_add_add_add_add_add_concatenate	1         	6.799/6.799/6.799/6.799
fused_adv_index_adv_index     	1         	6.345/6.345/6.345/6.345
fused_cast_like_add_where_1   	10        	6.26/0.626/0.406/0.906
fused_reshape_adv_index       	1         	6.214/6.214/6.214/6.214
fused_squeeze_6               	2         	6.023/3.0115/2.441/3.582
fused_take_take_subtract_take_take_subtract_multiply_concatenate_sqrt_divide_log_3641292538708681564_	2         	5.562/2.781/1.937/3.625
shape_func_nn_contrib_conv2d_NCHWc_add_nn_relu	4         	5.489/1.37225/1.227/1.487
fused_full_like_concatenate_concatenate_concatenate	2         	5.26/2.63/2.385/2.875
fused_adv_index               	1         	5.052/5.052/5.052/5.052
fused_dyn_strided_slice_3     	2         	4.999/2.4995/2.381/2.618
fused_prod_4                  	7         	4.871/0.695857/0.329/1.438
