#OpName                       	#InvokeCount	#Duration(us): Sum/Mean/Min/Max
fused_split_squeeze_subtract_divide_expand_dims_image_resize_take_nn_pad_stack_l_12908368525632877004_	1         	1224.32/1224.32/1224.32/1224.32
fused_divide_expand_dims_multiply_expand_dims_add_divide_clip_exp_expand_dims_mu_4615394520124750845_	1         	1187.11/1187.11/1187.11/1187.11
fused_layout_transform_48     	1         	1039.87/1039.87/1039.87/1039.87
fused_layout_transform_49     	1         	966.036/966.036/966.036/966.036
fused_layout_transform_40     	1         	886.183/886.183/886.183/886.183
fused_layout_transform_35     	1         	873.875/873.875/873.875/873.875
fused_reshape_reshape_concatenate	58        	738.542/12.7335/4.93/58.841
fused_layout_transform_reshape_transpose_reshape_layout_transform_reshape_transp_13381633112789344475_	1         	727.858/727.858/727.858/727.858
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_19	1         	705.04/705.04/705.04/705.04
fused_reshape_repeat_repeat_repeat_1	4         	683.438/170.859/0.146/566.596
fused_nn_contrib_conv2d_NCHWc_add_8	1         	590.033/590.033/590.033/590.033
fused_vision_roi_align_6      	1         	583.499/583.499/583.499/583.499
fused_layout_transform_image_resize_layout_transform_1	1         	559.949/559.949/559.949/559.949
fused_vision_roi_align_3      	1         	463.388/463.388/463.388/463.388
fused_topk_2                  	1         	434.166/434.166/434.166/434.166
fused_nn_contrib_conv2d_NCHWc_add_15	1         	404.395/404.395/404.395/404.395
fused_dyn_image_resize        	58        	359.948/6.206/1.143/34.076
fused_layout_transform_46     	1         	329.699/329.699/329.699/329.699
fused_cast_40                 	364       	209.745/0.576223/0.147/1.523
fused_dyn_strided_slice       	116       	208.615/1.79841/1.193/5.69
fused_layout_transform_41     	1         	203.131/203.131/203.131/203.131
fused_maximum_minimum_maximum_minimum_stack	1         	198.972/198.972/198.972/198.972
fused_prod_2                  	839       	190.94/0.22758/0.121/1.29
fused_expand_dims_concatenate 	116       	190.385/1.64125/1.005/3.425
fused_layout_transform_36     	1         	184.265/184.265/184.265/184.265
fused_shape_of_1              	472       	182.911/0.387523/0.146/1.569
fused_multiply_46             	1206      	176.614/0.146446/0.118/6.889
fused_layout_transform_image_resize_layout_transform	1         	158.342/158.342/158.342/158.342
fused_split                   	1         	146.791/146.791/146.791/146.791
fused_subtract_add_concatenate	116       	146.75/1.26509/1.021/2.03
fused_expand_dims_add_concatenate	116       	145.966/1.25833/1.017/2.086
fused_take_9                  	58        	139.558/2.40617/1.689/3.494
fused_take_14                 	58        	127.958/2.20617/1.207/5.552
fused_take_13                 	58        	126.208/2.176/1.356/5.883
fused_cast_like_add_where     	274       	126.134/0.460343/0.244/1.468
shape_func_dyn_full           	232       	122.695/0.528858/0.177/1.52
shape_func_dyn_strided_slice_1	243       	100.564/0.413844/0.269/0.92
fused_topk_3                  	1         	97.013/97.013/97.013/97.013
fused_nn_softmax              	1         	94.406/94.406/94.406/94.406
fused_subtract_expand_dims_cast_concatenate	58        	88.099/1.51895/1.009/2.339
fused_nn_contrib_conv2d_NCHWc_add_10	1         	87.628/87.628/87.628/87.628
fused_subtract_expand_dims_cast_concatenate_cast_like_less_cast_like_add_where	58        	84.741/1.46105/1.132/1.907
fused_layout_transform_reshape_transpose_reshape_layout_transform_reshape_transp_12493098991282149264_	1         	81.828/81.828/81.828/81.828
fused_expand_dims_expand_dims_concatenate	58        	79.791/1.37571/1.031/2.335
fused_sigmoid_layout_transform_concatenate_adv_index	1         	79.458/79.458/79.458/79.458
fused_subtract_expand_dims_cast_concatenate_cast_like_less_cast_like_add_where_1	58        	78.592/1.35503/1.105/2.047
