scatter rank: 1
scatter rank: 4
scatter rank: 4
scatter rank: 1
scatter rank: 1

#OpName                       	#InvokeCount	#Duration(us): Sum/Mean/Min/Max
fused_expand_dims_expand_dims_concatenate	58        	597.83/10.3074/9.838/15.007
fused_reshape_repeat_repeat_repeat	4         	596.642/149.161/20.824/369.629
fused_take_8                  	58        	596.492/10.2843/9.658/15.64
fused_take_12                 	58        	584.044/10.0697/9.324/15.073
fused_full_1                  	58        	579.634/9.99369/9.532/14.39
fused_take_11                 	58        	577.652/9.95952/9.509/14.405
fused_nn_conv2d_add_add       	1         	568.172/568.172/568.172/568.172
fused_reshape_squeeze         	1         	528.001/528.001/528.001/528.001
fused_nn_conv2d_add           	1         	486.889/486.889/486.889/486.889
fused_nn_dense_add_nn_relu_1  	1         	429.648/429.648/429.648/429.648
fused_dyn_strided_slice_1     	28        	350.921/12.5329/11.111/22.916
fused_nn_conv2d_add_11        	1         	349.568/349.568/349.568/349.568
fused_vision_roi_align_4      	1         	348.398/348.398/348.398/348.398
fused_nn_conv2d_add_4         	1         	322.885/322.885/322.885/322.885
fused_vision_roi_align_2      	1         	306.969/306.969/306.969/306.969
fused_nn_conv2d_add_nn_relu_18	1         	306.774/306.774/306.774/306.774
fused_image_resize_2          	1         	303.17/303.17/303.17/303.17
fused_nn_max_pool2d           	1         	285.665/285.665/285.665/285.665
fused_multiply_46             	1200      	242.493/0.202077/0.14/2.456
fused_nn_conv2d_add_6         	1         	237.926/237.926/237.926/237.926
fused_topk_1                  	1         	234.271/234.271/234.271/234.271
fused_nn_conv2d_add_14        	1         	217.965/217.965/217.965/217.965
fused_scatter                 	2         	217.095/108.547/102.727/114.368
fused_nn_dense_add_1          	1         	210.629/210.629/210.629/210.629
fused_topk_2                  	1         	209.368/209.368/209.368/209.368
fused_prod                    	839       	204.689/0.243968/0.144/2.662
fused_nn_conv2d_add_nn_relu_1 	1         	199.977/199.977/199.977/199.977
fused_nn_conv2d_add_nn_relu_19	1         	195.217/195.217/195.217/195.217
fused_argwhere                	1         	151.957/151.957/151.957/151.957
shape_func_dyn_strided_slice_2	243       	146.426/0.602576/0.476/0.99
fused_reshape_repeat_repeat_repeat_1	4         	135.265/33.8163/1.677/96.307
fused_maximum_minimum_maximum_minimum_stack	1         	117.183/117.183/117.183/117.183
fused_topk_3                  	1         	104.905/104.905/104.905/104.905
shape_func_dyn_full_1         	232       	104.766/0.451578/0.345/1.517
fused_cast_adv_index          	8         	102.255/12.7819/1.699/19.081
shape_func_argwhere_1         	10        	99.028/9.9028/0.52/85.846
fused_topk_4                  	1         	97.299/97.299/97.299/97.299
fused_cast_like_add_where     	8         	96.752/12.094/10.539/17.305
fused_nn_conv2d_add_8         	1         	96.094/96.094/96.094/96.094
fused_adv_index_2             	1         	92.606/92.606/92.606/92.606
fused_image_resize_1          	1         	91.422/91.422/91.422/91.422
