#OpName                       	#InvokeCount	#Duration(us): Sum/Mean/Min/Max
fused_subtract_expand_dims_cast_concatenate_cast_like_less_cast_like_add_where	58        	470.398/8.11031/7.272/13.194
fused_expand_dims_expand_dims_concatenate	58        	465.913/8.03298/7.014/26.613
fused_nn_dense_add            	1         	464.075/464.075/464.075/464.075
fused_take_10                 	58        	447.014/7.70714/6.682/12.062
fused_full_1                  	58        	444.214/7.65886/6.669/10.652
fused_subtract_expand_dims_cast_concatenate	58        	443.505/7.64664/7.064/13.178
fused_take_8                  	58        	440.134/7.58852/6.742/11.511
fused_full_2                  	58        	438.943/7.56798/6.773/10.732
fused_subtract_expand_dims_cast_concatenate_1	58        	437.138/7.53686/6.952/13.151
fused_take_expand_dims_cast   	58        	434.437/7.49029/6.804/14.263
fused_take_12                 	58        	431.579/7.44102/6.692/10.995
fused_take_expand_dims_cast_1 	58        	430.384/7.42041/6.858/14.043
fused_expand_dims_cast_concatenate_1	58        	429.835/7.41095/6.888/12.049
fused_expand_dims_cast_concatenate	58        	427.784/7.37559/6.689/10.822
fused_nn_conv2d_add_14        	1         	415.562/415.562/415.562/415.562
fused_take_11                 	58        	413.196/7.12407/6.591/11.019
fused_nn_conv2d_add_nn_relu_19	1         	338.161/338.161/338.161/338.161
fused_vision_roi_align_4      	1         	318.742/318.742/318.742/318.742
fused_nn_conv2d_add_6         	1         	307.689/307.689/307.689/307.689
fused_prod                    	839       	306.978/0.365886/0.145/1.977
fused_image_resize_2          	1         	301.448/301.448/301.448/301.448
fused_vision_roi_align_2      	1         	296.69/296.69/296.69/296.69
fused_multiply_46             	1200      	249.724/0.208103/0.144/1.057
fused_dyn_strided_slice_1     	28        	239.972/8.57043/7.161/16.328
fused_topk_1                  	1         	195.964/195.964/195.964/195.964
fused_nn_conv2d_add_nn_relu_1 	1         	189.578/189.578/189.578/189.578
fused_scatter                 	2         	176.44/88.22/84.322/92.118
fused_topk_2                  	1         	169.549/169.549/169.549/169.549
shape_func_dyn_strided_slice_2	243       	147.107/0.605379/0.395/1.286
fused_nn_conv2d_add_15        	1         	140.882/140.882/140.882/140.882
fused_nn_conv2d_add_8         	1         	138.099/138.099/138.099/138.099
fused_argwhere                	1         	124.015/124.015/124.015/124.015
fused_reshape_repeat_repeat_repeat_1	4         	117.907/29.4767/0.871/86.127
shape_func_dyn_full_1         	232       	114.979/0.495599/0.259/1.822
fused_nn_conv2d_add_10        	1         	110.811/110.811/110.811/110.811
shape_func_argwhere_1         	10        	105.498/10.5498/0.639/89.882
fused_maximum_minimum_maximum_minimum_stack	1         	105.186/105.186/105.186/105.186
fused_nn_conv2d_add_16        	1         	96.783/96.783/96.783/96.783
fused_image_resize_1          	1         	95.458/95.458/95.458/95.458
shape_func_dyn_strided_slice_9	116       	85.774/0.739431/0.455/1.405
fused_prod_2                  	184       	83.55/0.454076/0.192/1.858
fused_cast_adv_index          	8         	82.258/10.2823/0.989/16.69
fused_topk_3                  	1         	80.818/80.818/80.818/80.818
fused_vision_roi_align_5      	1         	80.616/80.616/80.616/80.616
fused_nn_conv2d_add_17        	1         	72.805/72.805/72.805/72.805
shape_func_take_2             	58        	69.298/1.19479/0.628/2.12
fused_split_squeeze           	8         	69.198/8.64975/1.886/14.693
fused_prod_3                  	152       	69.017/0.454059/0.153/2.37
fused_topk_4                  	1         	67.812/67.812/67.812/67.812
fused_cast_like_add_where     	8         	67.275/8.40938/6.895/13.006
fused_nn_conv2d_add_12        	1         	56.745/56.745/56.745/56.745
shape_func_take_1             	58        	56.558/0.975138/0.369/1.957
fused_dyn_strided_slice_6     	6         	55.549/9.25817/7.422/15.726
fused_cast_like_add_where_2   	6         	55.416/9.236/7.547/13.296
fused_nn_conv2d_add_13        	1         	55.207/55.207/55.207/55.207
fused_vision_roi_align_3      	1         	55.031/55.031/55.031/55.031
fused_shape_of_8              	4         	54.812/13.703/9.074/20.677
shape_func_expand_dims_concatenate	58        	53.664/0.925241/0.505/1.858
shape_func_take_expand_dims_repeat_repeat	58        	53.346/0.919759/0.446/1.717
shape_func_take               	58        	52.636/0.907517/0.439/2.029
fused_equal                   	2         	49.921/24.9605/15.136/34.785
shape_func_reshape_reshape_concatenate	58        	49.498/0.853414/0.53/1.842
fused_equal_2                 	2         	48.019/24.0095/17.744/30.275
fused_shape_of                	6         	47.36/7.89333/6.234/12.017
shape_func_reshape_reshape_concatenate_1	58        	46.641/0.804155/0.566/1.781
fused_nn_conv2d_add_18        	1         	46.226/46.226/46.226/46.226
fused_cast_41                 	5         	45.32/9.064/7.373/13.159
fused_shape_of_2              	5         	45.221/9.0442/7.289/13.683
shape_func_dyn_image_resize   	58        	40.877/0.704776/0.544/1.237
fused_split                   	1         	40.826/40.826/40.826/40.826
fused_equal_1                 	2         	38.487/19.2435/12.354/26.133
fused_equal_3                 	2         	38.167/19.0835/8.887/29.28
fused_image_resize            	1         	35.136/35.136/35.136/35.136
fused_squeeze_7               	2         	34.13/17.065/9.169/24.961
fused_cast_40                 	4         	34.097/8.52425/6.754/13.382
fused_nn_pad                  	1         	33.917/33.917/33.917/33.917
