|    2 |        0.040 |        2596.75 |    128 |                                                                                                                                   [154/1855]
|    3 |        0.014 |         946.02 |    192 |
|    4 |        0.038 |         801.74 |    128 |
|    5 |        0.021 |          91.22 |     64 |
|    6 |        0.035 |         868.43 |    128 |
|    7 |        0.036 |        2204.51 |    640 |
|    8 |        0.233 |        2702.73 |    640 |
|    9 |        0.155 |        4065.77 |    448 |
|   10 |        0.076 |        2411.34 |    320 |
|   11 |        0.116 |          99.41 |    320 |
|   12 |        0.092 |        2008.72 |    256 |
|   13 |        0.232 |        2715.27 |    128 |
|   14 |        0.284 |        4437.83 |    384 |
|   15 |        0.485 |        1885.17 |    512 |
|   16 |        0.286 |        4402.09 |    320 |
|   17 |        0.623 |        4548.75 |    320 |
|   18 |        0.549 |        4496.24 |    256 |
|   19 |        0.255 |        4856.93 |    704 |
|   20 |        0.475 |        2960.80 |   1088 |
|   21 |        0.253 |        4870.02 |    576 |
|   22 |        0.642 |        4319.82 |    320 |
|   23 |        0.485 |        5085.74 |    320 |                                                                                                                                             |   24 |        0.273 |        4558.41 |    512 |                                                                                                                                             |   25 |        0.610 |        2497.21 |    960 |                                                                                                                                             |   26 |        0.245 |        5031.61 |    384 |
|   27 |        0.598 |        4639.01 |    320 |
|   28 |        0.530 |        4670.73 |    256 |
|   29 |        0.429 |        2937.50 |    576 |                                                                                                                                             |   30 |        0.958 |        1894.43 |   1280 |                                                                                                                                             |   31 |        0.300 |        4120.91 |    320 |                                                                                                                                             |   32 |        0.104 |        3020.58 |     64 |
|   33 |        0.231 |          93.66 |    128 |
|   34 |        0.496 |        5724.30 |    320 |
|   35 |        0.293 |        4236.17 |    128 |
|   36 |        0.503 |        4908.19 |    256 |
|   37 |        0.503 |        4908.35 |    256 |
|   38 |        0.534 |        4719.19 |    320 |
|   39 |        0.002 |          69.25 |     64 |
|   40 |        0.002 |         204.35 |     64 |
|   41 |        0.002 |          16.72 |     64 |
|   42 |        0.002 |          50.73 |     64 |
|   43 |        0.008 |         617.91 |     64 |
|   44 |        0.004 |          86.60 |     64 |
|   45 |        0.008 |         661.68 |     64 |
|   46 |        0.009 |         143.61 |     64 |
-------------------------------------------------
Estimated total latency: 29.890 ms      Trials: 15110   Used time : 32599 s     Next ID: 18
